time,EAR
26,1.3682342672286192
27,1.2558117420973607
28,1.1660153892295524
29,1.1596910273333547
30,1.1956406985536552
31,1.1228229685641635
32,1.114433852891684
33,1.093063624606115
34,1.1108874405188691
35,1.027890580873986
36,0.7877603833330845
37,0.6615972568102727
38,0.6358060720805448
39,0.44626635663585934
40,0.297837818915308
41,0.15575800037314458
42,0.2098290913587566
43,0.172818150414354
44,0.14717940179269945
0,0.0018763948549481713
1,0.017021743488044284
2,0.1305238689424388
3,0.33875012197374726
4,0.6101677037035913
5,0.6949348625143471
6,0.6168710275111686
7,0.8038611266516494
8,1.0076877159758526
9,1.1505031520560391
10,1.305190770194086
11,1.073810940109158
12,1.000139627308473
13,1.081586385313939
14,1.0932921652737912
15,1.096763767568637
16,1.2345379361599673
17,1.4538378676695876
18,1.4999313626551583
19,1.776306192342103
20,1.8332825456606516
21,1.832059689336469
22,1.9738429246239857
23,2.0677440687342075
24,2.1154387223779434
25,2.2054068113188774
26,2.299262171153681
27,2.323605196664245
28,2.3026611484644315
29,2.284519814401616
30,2.435207334984317
31,2.578672976324928
32,2.521721046647626
33,2.2747608059049136
34,2.305232095152477
35,2.351626819595465
36,2.2723236239921163
37,2.223806383191291
38,2.1618228429642783
39,2.1183025587527458
40,2.1539376965583554
41,2.1184219138254154
42,2.0706939564947007
43,1.958454416102145
44,2.1126823740338225
0,2.0999639228332847
1,1.9543657197014923
2,1.938286607866655
3,1.9682977544904912
4,2.13454113114957
5,2.243698969797629
6,2.362836439328135
7,2.4254218543437824
8,2.5505170909971775
9,2.6551960160676504
10,2.7781216350319693
11,2.9052628695628706
12,3.0053019168970785
13,3.085497735955827
14,3.1306397064002502
15,3.1204280003664127
16,3.050531341203716
17,3.102248862064987
18,3.0812955153763713
19,3.137581706643521
20,3.151221721662481
21,3.148361758059688
22,3.118233447644089
23,3.082878295202941
24,3.156205976609536
25,3.2191236886901233
26,3.208798114740671
27,3.2394795310430657
28,3.2058232442142556
29,3.3326214981493267
30,3.2454379756167766
31,3.191776839425303
32,2.9194764293766404
33,2.68129738087287
34,2.5395900137192116
35,1.4709889610374203
36,0.9050779590288914
37,0.530191635594994
38,0.21227466808617512
39,-0.2096439393790588
40,-0.3491245784282764
41,-0.4111576491183959
42,-0.5074113849169671
43,-0.5608805296149302
44,-0.6563210765439836
0,-0.7897581941180729
1,-0.8189794465878586
2,-0.7463737689587053
3,-0.761801298563444
4,-0.8082406360990121
5,-0.672343507465295
6,-0.47647959850175936
7,-0.16269240413189995
8,0.14234014576981358
9,0.3621543820631575
10,0.669761918610663
11,0.893335788493651
12,1.2286903443229678
13,1.500862121728666
14,1.2125878667906067
15,0.9840502677474897
16,0.8478980969657319
17,0.8340492749261592
18,0.8047486569253534
19,0.930166611982711
20,1.243230773249086
21,1.289621915352817
22,1.3911955636924918
23,1.514928724184281
24,1.618230757804973
25,1.6629484913613075
26,1.5277062717594947
27,1.5102592958678476
28,1.3507119297645407
29,1.3317872606649956
30,1.2227285947652708
31,1.0831968336307152
32,0.9948304539443751
33,0.7169138018957908
34,0.5002952937573975
35,0.24493271998266541
36,0.23940385465485575
37,0.12350261214554926
38,-0.1245925924263984
39,-0.19548443465707788
40,-0.23848464256332375
41,-0.19863387318423348
42,-0.05779823275642984
43,0.001084121320513727
44,0.29393661879593574
0,0.6390049598817471
1,0.9842490263311867
2,1.5219233444715918
3,2.0220668624339435
4,2.2517925232743776
5,2.3948775064787187
6,2.469999468109323
7,2.5455705274563463
8,2.729420067053862
9,2.773873524401495
10,2.7884429771965458
11,3.3147600916307614
